,timestep,date,n_admitted_InGeneralWard
0,0,20201111,0.0
1,1,20201112,81.0
2,2,20201113,74.0
3,3,20201114,64.0
4,4,20201115,68.0
5,5,20201116,55.0
6,6,20201117,93.0
7,7,20201118,64.0
8,8,20201119,80.0
9,9,20201120,72.0
10,10,20201121,66.0
11,11,20201122,50.0
12,12,20201123,56.0
13,13,20201124,76.0
14,14,20201125,63.0
15,15,20201126,43.0
16,16,20201127,41.0
17,17,20201128,66.0
18,18,20201129,40.0
19,19,20201130,50.0
20,20,20201201,52.0
21,21,20201202,50.0
22,22,20201203,47.0
23,23,20201204,50.0
24,24,20201205,49.0
25,25,20201206,33.0
26,26,20201207,45.0
27,27,20201208,58.0
28,28,20201209,40.0
29,29,20201210,38.0
30,30,20201211,33.0
31,31,20201212,44.0
32,32,20201213,19.0
33,33,20201214,31.0
34,34,20201215,35.0
35,35,20201216,32.0
36,36,20201217,31.0
37,37,20201218,41.0
38,38,20201219,34.0
39,39,20201220,15.0
40,40,20201221,24.0
41,41,20201222,27.0
42,42,20201223,23.0
43,43,20201224,29.0
44,44,20201225,19.0
45,45,20201226,17.0
46,46,20201227,24.0
47,47,20201228,26.0
48,48,20201229,34.0
49,49,20201230,26.0
50,50,20201231,24.0
51,51,20210101,20.0
52,52,20210102,20.0
53,53,20210103,23.0
54,54,20210104,16.0
55,55,20210105,26.0
56,56,20210106,26.0
57,57,20210107,23.0
58,58,20210108,19.0
59,59,20210109,23.0
60,60,20210110,25.0
61,61,20210111,21.0
62,62,20210112,29.0
63,63,20210113,19.0
64,64,20210114,22.0
65,65,20210115,18.0
66,66,20210116,17.0
67,67,20210117,11.0
68,68,20210118,14.0
69,69,20210119,16.0
70,70,20210120,10.0
71,71,20210121,14.0
72,72,20210122,19.0
73,73,20210123,8.0
74,74,20210124,9.0
75,75,20210125,7.0
76,76,20210126,15.0
77,77,20210127,14.0
78,78,20210128,12.0
79,79,20210129,13.0
80,80,20210130,11.0
81,81,20210131,8.0
82,82,20210201,14.0
83,83,20210202,17.0
84,84,20210203,9.0
85,85,20210204,7.0
86,86,20210205,8.0
87,87,20210206,11.0
88,88,20210207,6.0
89,89,20210208,9.0
90,90,20210209,7.0
91,91,20210210,7.0
92,92,20210211,7.0
