,timestep,date,n_admitted_InGeneralWard
0,0,20201111,0.0
1,1,20201112,83.0
2,2,20201113,75.0
3,3,20201114,70.0
4,4,20201115,69.0
5,5,20201116,87.0
6,6,20201117,111.0
7,7,20201118,72.0
8,8,20201119,120.0
9,9,20201120,88.0
10,10,20201121,81.0
11,11,20201122,76.0
12,12,20201123,89.0
13,13,20201124,95.0
14,14,20201125,99.0
15,15,20201126,101.0
16,16,20201127,68.0
17,17,20201128,86.0
18,18,20201129,88.0
19,19,20201130,81.0
20,20,20201201,99.0
21,21,20201202,110.0
22,22,20201203,90.0
23,23,20201204,94.0
24,24,20201205,94.0
25,25,20201206,86.0
26,26,20201207,104.0
27,27,20201208,91.0
28,28,20201209,92.0
29,29,20201210,107.0
30,30,20201211,82.0
31,31,20201212,92.0
32,32,20201213,84.0
33,33,20201214,80.0
34,34,20201215,83.0
35,35,20201216,90.0
36,36,20201217,86.0
37,37,20201218,97.0
38,38,20201219,89.0
39,39,20201220,88.0
40,40,20201221,68.0
41,41,20201222,100.0
42,42,20201223,74.0
43,43,20201224,83.0
44,44,20201225,63.0
45,45,20201226,53.0
46,46,20201227,85.0
47,47,20201228,69.0
48,48,20201229,78.0
49,49,20201230,95.0
50,50,20201231,73.0
51,51,20210101,85.0
52,52,20210102,62.0
53,53,20210103,92.0
54,54,20210104,87.0
55,55,20210105,94.0
56,56,20210106,93.0
57,57,20210107,88.0
58,58,20210108,94.0
59,59,20210109,96.0
60,60,20210110,78.0
61,61,20210111,70.0
62,62,20210112,94.0
63,63,20210113,89.0
64,64,20210114,83.0
65,65,20210115,96.0
66,66,20210116,80.0
67,67,20210117,81.0
68,68,20210118,65.0
69,69,20210119,66.0
70,70,20210120,78.0
71,71,20210121,59.0
72,72,20210122,78.0
73,73,20210123,63.0
74,74,20210124,45.0
75,75,20210125,47.0
76,76,20210126,77.0
77,77,20210127,81.0
78,78,20210128,74.0
79,79,20210129,70.0
80,80,20210130,68.0
81,81,20210131,67.0
82,82,20210201,61.0
83,83,20210202,64.0
84,84,20210203,58.0
85,85,20210204,63.0
86,86,20210205,56.0
87,87,20210206,51.0
88,88,20210207,32.0
89,89,20210208,47.0
90,90,20210209,65.0
91,91,20210210,39.0
92,92,20210211,40.0
