,timestep,date,n_discharged_InGeneralWard,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_InICU,n_occupied_beds,n_TERMINAL,n_TERMINAL_5daysSmoothed
0,0,20201111,,310.0,,,182.0,492.0,6.0,10
1,1,20201112,,329.0,,,191.0,520.0,9.0,10
2,2,20201113,,317.0,,,184.0,501.0,14.0,9
3,3,20201114,,318.0,,,184.0,502.0,9.0,9
4,4,20201115,,328.0,,,186.0,514.0,8.0,9
5,5,20201116,,334.0,,,198.0,532.0,5.0,8
6,6,20201117,,329.0,,,196.0,525.0,9.0,9
7,7,20201118,,343.0,,,201.0,544.0,8.0,11
8,8,20201119,,376.0,,,195.0,571.0,16.0,13
9,9,20201120,,379.0,,,182.0,561.0,17.0,12
10,10,20201121,,349.0,,,183.0,532.0,14.0,11
11,11,20201122,,362.0,,,197.0,559.0,6.0,10
12,12,20201123,,363.0,,,199.0,562.0,4.0,12
13,13,20201124,,346.0,,,201.0,547.0,11.0,9
14,14,20201125,,366.0,,,207.0,573.0,26.0,11
15,15,20201126,,359.0,,,207.0,566.0,0.0,13
16,16,20201127,,350.0,,,205.0,555.0,15.0,12
17,17,20201128,,328.0,,,207.0,535.0,14.0,7
18,18,20201129,,347.0,,,207.0,554.0,5.0,11
19,19,20201130,,358.0,,,205.0,563.0,3.0,11
20,20,20201201,,360.0,,,205.0,565.0,19.0,11
21,21,20201202,,383.0,,,202.0,585.0,16.0,11
22,22,20201203,,380.0,,,209.0,589.0,11.0,14
23,23,20201204,,384.0,,,203.0,587.0,8.0,10
24,24,20201205,,365.0,,,212.0,577.0,14.0,9
25,25,20201206,,365.0,,,213.0,578.0,0.0,11
26,26,20201207,,355.0,,,215.0,570.0,10.0,14
27,27,20201208,,351.0,,,220.0,571.0,23.0,15
28,28,20201209,,321.0,,,223.0,544.0,23.0,17
29,29,20201210,,358.0,,,220.0,578.0,21.0,18
30,30,20201211,,339.0,,,213.0,552.0,9.0,17
31,31,20201212,,328.0,,,211.0,539.0,13.0,13
32,32,20201213,,357.0,,,215.0,572.0,17.0,12
33,33,20201214,,358.0,,,211.0,569.0,7.0,14
34,34,20201215,,335.0,,,203.0,538.0,15.0,18
35,35,20201216,,338.0,,,210.0,548.0,19.0,17
36,36,20201217,,325.0,,,211.0,536.0,30.0,17
37,37,20201218,,334.0,,,206.0,540.0,14.0,16
38,38,20201219,,346.0,,,218.0,564.0,8.0,13
39,39,20201220,,349.0,,,201.0,550.0,7.0,9
40,40,20201221,,334.0,,,195.0,529.0,6.0,11
41,41,20201222,,351.0,,,202.0,553.0,12.0,11
42,42,20201223,,359.0,,,198.0,557.0,23.0,10
43,43,20201224,,345.0,,,180.0,525.0,8.0,10
44,44,20201225,,302.0,,,180.0,482.0,0.0,8
45,45,20201226,,324.0,,,172.0,496.0,8.0,5
46,46,20201227,,344.0,,,166.0,510.0,2.0,6
47,47,20201228,,348.0,,,168.0,516.0,5.0,10
48,48,20201229,,335.0,,,164.0,499.0,16.0,11
49,49,20201230,,349.0,,,156.0,505.0,21.0,11
50,50,20201231,,324.0,,,158.0,482.0,13.0,15
51,51,20210101,,341.0,,,158.0,499.0,0.0,13
52,52,20210102,,297.0,,,158.0,455.0,25.0,10
53,53,20210103,,294.0,,,164.0,458.0,7.0,9
54,54,20210104,,309.0,,,167.0,476.0,4.0,12
55,55,20210105,,305.0,,,177.0,482.0,7.0,13
56,56,20210106,,337.0,,,192.0,529.0,18.0,16
57,57,20210107,,332.0,,,187.0,519.0,29.0,17
58,58,20210108,,350.0,,,196.0,546.0,22.0,16
59,59,20210109,,345.0,,,181.0,526.0,9.0,13
60,60,20210110,,353.0,,,189.0,542.0,2.0,9
61,61,20210111,,363.0,,,194.0,557.0,4.0,5
62,62,20210112,,354.0,,,187.0,541.0,26.0,14
63,63,20210113,,350.0,,,194.0,544.0,27.0,16
64,64,20210114,,367.0,,,194.0,561.0,11.0,18
65,65,20210115,,357.0,,,210.0,567.0,12.0,14
66,66,20210116,,331.0,,,231.0,562.0,13.0,10
67,67,20210117,,348.0,,,226.0,574.0,8.0,9
68,68,20210118,,348.0,,,214.0,562.0,7.0,9
69,69,20210119,,334.0,,,216.0,550.0,7.0,12
70,70,20210120,,334.0,,,210.0,544.0,10.0,16
71,71,20210121,,302.0,,,209.0,511.0,30.0,16
72,72,20210122,,287.0,,,192.0,479.0,24.0,18
73,73,20210123,,275.0,,,196.0,471.0,11.0,16
74,74,20210124,,296.0,,,182.0,478.0,13.0,13
75,75,20210125,,282.0,,,179.0,461.0,2.0,10
76,76,20210126,,272.0,,,158.0,430.0,16.0,8
77,77,20210127,,283.0,,,161.0,444.0,7.0,12
78,78,20210128,,285.0,,,157.0,442.0,0.0,13
79,79,20210129,,276.0,,,148.0,424.0,35.0,10
80,80,20210130,,264.0,,,139.0,403.0,8.0,10
81,81,20210131,,259.0,,,131.0,390.0,2.0,13
82,82,20210201,,248.0,,,129.0,377.0,3.0,8
83,83,20210202,,247.0,,,130.0,377.0,17.0,10
84,84,20210203,,240.0,,,119.0,359.0,12.0,13
85,85,20210204,,225.0,,,125.0,350.0,14.0,13
86,86,20210205,,204.0,,,117.0,321.0,17.0,10
87,87,20210206,,204.0,,,123.0,327.0,5.0,8
88,88,20210207,,190.0,,,120.0,310.0,3.0,7
89,89,20210208,,179.0,,,112.0,291.0,2.0,7
90,90,20210209,,170.0,,,124.0,294.0,10.0,8
91,91,20210210,,175.0,,,131.0,306.0,17.0,10
92,92,20210211,,174.0,,,128.0,302.0,9.0,12
